TransactionID,BorrowDate,DueDate,ReturnDate,TransactionStatus,OverdueFlag,LoanDurationDays,DaysOverdue,MemberID,Age,AgeGroup,Gender,MembershipType,City,BookTitle,Author,Category,PublishedYear,BookPriceNPR,FineAmountNPR,BorrowYear
T000027,2025-01-29,2025-02-14,2025-02-24,Returned,Overdue,26.0,10.0,M00040,24,18-25,Male,Student,Kathmandu,Advanced Networking Guide,Dawn Strickland MD,Finance,2010,550,100,2025
T000028,2024-10-10,2024-10-19,2024-10-17,Returned,On Time,7.0,0.0,M01079,71,65+,Female,Public,Kathmandu,Modern History Techniques,John Estrada,Fiction,2017,1075,0,2024
T000029,2024-12-06,2024-12-21,2024-12-19,Returned,On Time,13.0,0.0,M00328,27,26-35,Male,Student,Kathmandu,Advanced Networking Applications,Julie Haynes,Computer Science,2014,1175,0,2024
T000030,2024-10-18,2024-11-10,2024-11-08,Returned,On Time,21.0,0.0,M01161,77,65+,Male,Faculty,Biratnagar,Advanced Finance Handbook,Vanessa Abbott,Finance,2019,700,0,2024
T000031,2025-05-16,2025-06-02,2025-06-01,Returned,On Time,16.0,0.0,M01480,45,36-50,Female,Student,Pokhara,Complete Cloud Computing Guide,Alexandria Romero,Psychology,2016,1450,0,2025
T000032,2025-06-09,2025-06-22,2025-06-20,Returned,On Time,11.0,0.0,M01264,74,65+,Female,Public,Nepalgunj,Essential Cyber Security Guide,Russell Warren,Fiction,2020,2100,0,2025
T000033,2024-01-05,2024-01-16,2024-01-27,Returned,Overdue,22.0,11.0,M01702,16,Under 18,Male,Public,Kathmandu,Advanced Cyber Security Handbook,Mrs. Denise Patton MD,Marketing,2016,1225,110,2024
T000034,2024-07-23,2024-08-15,2024-08-19,Returned,Overdue,27.0,4.0,M01613,29,26-35,Female,Researcher,Kathmandu,Practical AI Applications,Tammy Ferguson,Psychology,2018,2475,40,2024
T000035,2024-10-03,2024-10-14,2024-10-13,Returned,On Time,10.0,0.0,M02038,60,51-65,Female,Public,Biratnagar,Advanced History Applications,Marissa Garcia,Psychology,2010,1300,0,2024
T000036,2025-04-21,2025-05-04,,Borrowed,On Time,,,M02191,15,Under 18,Female,Public,Kathmandu,Advanced Psychology Applications,Jacob Collins,Fiction,2008,750,0,2025
T000037,2025-12-14,2025-12-25,2025-12-31,Returned,Overdue,17.0,6.0,M01687,25,18-25,Male,Public,Kathmandu,Modern Business Techniques,Teresa Davis,Computer Science,2011,500,60,2025
T000038,2025-03-31,2025-04-13,2025-04-13,Returned,On Time,13.0,0.0,M01495,15,Under 18,Female,Student,Pokhara,Modern Business Applications,Rachael Mays,AI,2025,500,0,2025
T000039,2025-02-14,2025-02-23,2025-03-16,Returned,Overdue,30.0,21.0,M00415,34,26-35,Male,Public,Kathmandu,Practical Self Help Concepts,Jason Miller,Psychology,2019,1725,210,2025
T000040,2025-10-20,2025-11-12,2025-11-12,Returned,On Time,23.0,0.0,M00163,41,36-50,Male,Faculty,Nepalgunj,Complete AI Handbook,Jesse Li MD,Fiction,2010,800,0,2025
T000041,2025-10-02,2025-10-15,2025-11-22,Returned,Overdue,51.0,38.0,M00950,53,51-65,Male,Public,Kathmandu,Practical Business Concepts,Jasmine Villarreal,Psychology,2013,825,380,2025
T000042,2025-06-18,2025-07-05,2025-07-04,Returned,On Time,16.0,0.0,M00575,40,36-50,Male,Student,Kathmandu,Modern Cloud Computing Applications,Lisa Macias,Computer Science,2024,2400,0,2025
T000043,2025-07-12,2025-07-24,2025-07-23,Returned,On Time,11.0,0.0,M01134,32,26-35,Male,Student,Kathmandu,Complete Networking Techniques,Beverly Jenkins,Business,2018,400,0,2025
T000044,2025-05-04,2025-05-21,2025-05-21,Returned,On Time,17.0,0.0,M01900,56,51-65,Male,Student,Pokhara,Practical AI Handbook,Debra Dickerson,AI,2025,1350,0,2025
T000045,2024-09-04,2024-09-26,2024-09-23,Returned,On Time,19.0,0.0,M01839,19,18-25,Female,Faculty,Kathmandu,Advanced Cyber Security Concepts,Matthew Harper,History,2016,2400,0,2024
T000046,2024-05-12,2024-05-20,2024-05-19,Returned,On Time,7.0,0.0,M00193,48,36-50,Female,Public,Nepalgunj,Complete Marketing Applications,John Jimenez,Machine Learning,2020,1850,0,2024
T000047,2024-01-28,2024-02-17,2024-02-29,Returned,Overdue,32.0,12.0,M01699,70,65+,Female,Faculty,Nepalgunj,Essential Networking Techniques,Joshua Cuevas,Fiction,2014,875,120,2024
T000048,2024-09-14,2024-09-24,2024-09-23,Returned,On Time,9.0,0.0,M01730,40,36-50,Male,Public,Kathmandu,Advanced Fiction Techniques,Samantha Price,Business,2011,2350,0,2024
T000049,2024-10-20,2024-11-02,2024-11-01,Returned,On Time,12.0,0.0,M01365,47,36-50,Male,Public,Kathmandu,Essential Psychology Concepts,Elizabeth Mccarthy,Psychology,2014,2075,0,2024
T000050,2024-05-03,2024-05-17,2024-05-30,Returned,Overdue,27.0,13.0,M01478,60,51-65,Male,Student,Kathmandu,Modern Cloud Computing Concepts,Cory Hart,Psychology,2023,1525,130,2024
T000051,2024-02-04,2024-02-28,,Borrowed,On Time,,,M01976,18,18-25,Female,Researcher,Kathmandu,Complete Self Help Concepts,Danielle Kramer,Psychology,2020,2200,0,2024
T000052,2025-12-28,2026-01-16,2026-01-15,Returned,On Time,18.0,0.0,M02173,32,26-35,Male,Researcher,Nepalgunj,Complete Self Help Applications,Megan Mills,Business,2016,1625,0,2025
T000053,2025-12-16,2026-01-04,,Borrowed,On Time,,,M00340,20,18-25,Female,Faculty,Pokhara,Modern Business Handbook,Charles Sheppard,Business,2012,600,0,2025
T000054,2024-03-24,2024-04-04,,Borrowed,On Time,,,M01099,16,Under 18,Male,Public,Nepalgunj,Essential Psychology Applications,Mackenzie Ramsey,Cyber Security,2017,2350,0,2024
T000055,2025-09-25,2025-10-15,2025-10-15,Returned,On Time,20.0,0.0,M00661,19,18-25,Male,Researcher,Biratnagar,Practical Economics Handbook,Larry Walker,Finance,2013,2300,0,2025
T000056,2024-07-17,2024-08-06,2024-08-29,Returned,Overdue,43.0,23.0,M00971,21,18-25,Female,Faculty,Pokhara,Practical Business Handbook,Catherine Payne,Computer Science,2012,1575,230,2024
T000057,2025-11-29,2025-12-09,2025-12-08,Returned,On Time,9.0,0.0,M00655,53,51-65,Female,Public,Kathmandu,Complete Data Science Applications,Brandon Richardson,Economics,2014,650,0,2025
T000058,2025-01-03,2025-01-15,2025-01-25,Returned,Overdue,22.0,10.0,M00726,20,18-25,Male,Student,Pokhara,Modern Finance Applications,Megan Taylor,Computer Science,2010,2050,100,2025
T000059,2024-10-28,2024-11-17,2024-12-28,Returned,Overdue,61.0,41.0,M00837,24,18-25,Male,Researcher,Kathmandu,Practical Marketing Techniques,Richard Hodges,History,2013,1325,410,2024
T000060,2025-09-27,2025-10-07,2025-10-06,Returned,On Time,9.0,0.0,M00100,15,Under 18,Female,Public,Kathmandu,Complete Psychology Concepts,John Grant,Self Help,2023,1350,0,2025
T000061,2024-01-15,2024-01-28,2024-02-03,Returned,Overdue,19.0,6.0,M02159,28,26-35,Female,Student,Kathmandu,Complete Fiction Techniques,Chelsea Odonnell,Business,2012,700,60,2024
T000062,2025-01-31,2025-02-17,2025-02-15,Returned,On Time,15.0,0.0,M00999,34,26-35,Female,Student,Pokhara,Essential Cyber Security Concepts,Matthew Jones,Machine Learning,2025,1850,0,2025
T000063,2024-06-15,2024-07-06,2024-07-09,Returned,Overdue,24.0,3.0,M00634,45,36-50,Female,Faculty,Pokhara,Complete Cloud Computing Concepts,Mary White,Business,2009,825,30,2024
T000064,2024-12-29,2025-01-18,,Borrowed,On Time,,,M00747,43,36-50,Male,Faculty,Kathmandu,Practical Business Techniques,Sonia Stevens,Marketing,2023,425,0,2024
T000065,2025-03-11,2025-03-19,2025-03-16,Returned,On Time,5.0,0.0,M00952,38,36-50,Female,Public,Nepalgunj,Modern History Techniques,Tyrone Jimenez,History,2022,1500,0,2025
T000066,2024-10-15,2024-10-23,2024-10-21,Returned,On Time,6.0,0.0,M01754,33,26-35,Male,Public,Pokhara,Essential Economics Concepts,Catherine Munoz,Psychology,2014,800,0,2024
T000067,2025-05-15,2025-06-05,,Borrowed,On Time,,,M02034,34,26-35,Female,Faculty,Pokhara,Modern Machine Learning Applications,Mitchell Abbott,Fiction,2014,2125,0,2025
T000068,2025-03-31,2025-04-22,2025-04-19,Returned,On Time,19.0,0.0,M01146,24,18-25,Female,Faculty,Pokhara,Modern Cyber Security Handbook,Austin Castillo,Fiction,2010,2400,0,2025
T000069,2024-09-09,2024-09-25,,Borrowed,On Time,,,M00231,35,26-35,Female,Student,Kathmandu,Practical Fiction Guide,Elizabeth Gonzalez,Self Help,2014,2100,0,2024
T000070,2025-11-09,2025-11-23,,Borrowed,On Time,,,M01271,41,36-50,Male,Student,Kathmandu,Essential Cyber Security Concepts,James Hernandez,Cyber Security,2019,1425,0,2025
T000071,2025-01-13,2025-01-28,2025-01-28,Returned,On Time,15.0,0.0,M00591,58,51-65,Male,Student,Pokhara,Complete Business Handbook,Ross Foster,Fiction,2018,350,0,2025
T000072,2025-10-20,2025-10-29,2025-10-28,Returned,On Time,8.0,0.0,M00561,36,36-50,Female,Public,Nepalgunj,Essential Business Applications,Karen Richardson,Business,2013,850,0,2025
T000073,2024-12-22,2024-12-31,,Borrowed,On Time,,,M01628,77,65+,Male,Public,Nepalgunj,Modern Fiction Applications,Mark Velez,AI,2013,1025,0,2024
T000074,2025-08-12,2025-08-26,2025-08-25,Returned,On Time,13.0,0.0,M01400,21,18-25,Female,Student,Kathmandu,Advanced Marketing Applications,Tammy Hudson,Data Science,2020,450,0,2025
T000075,2024-12-03,2024-12-14,2025-01-20,Returned,Overdue,48.0,37.0,M00778,30,26-35,Female,Public,Pokhara,Essential Business Handbook,Nancy Guzman,Business,2018,1525,370,2024
T000076,2025-07-10,2025-07-22,,Borrowed,On Time,,,M00975,34,26-35,Male,Public,Kathmandu,Practical Cloud Computing Guide,Lisa Hayes,Self Help,2022,1575,0,2025
T000077,2025-12-19,2026-01-05,2026-01-05,Returned,On Time,17.0,0.0,M00673,18,18-25,Male,Student,Pokhara,Modern AI Guide,Lisa Orr,History,2019,2325,0,2025
T000078,2025-12-12,2025-12-29,2025-12-27,Returned,On Time,15.0,0.0,M00260,57,51-65,Female,Student,Kathmandu,Practical Finance Techniques,Andrew Kane,Self Help,2014,1525,0,2025
T000079,2024-03-29,2024-04-14,2024-04-11,Returned,On Time,13.0,0.0,M01940,44,36-50,Male,Student,Pokhara,Modern Data Science Handbook,Jason Anderson,Self Help,2013,1675,0,2024
T000080,2024-12-09,2024-12-23,,Borrowed,On Time,,,M00075,35,26-35,Female,Student,Pokhara,Complete AI Concepts,Michael Smith,Cloud Computing,2012,1325,0,2024
T000081,2025-08-24,2025-09-16,2025-09-23,Returned,Overdue,30.0,7.0,M01333,28,26-35,Male,Faculty,Kathmandu,Modern Networking Techniques,Kristin Perez,Data Science,2010,500,70,2025
T000082,2025-01-31,2025-02-13,,Borrowed,On Time,,,M01268,18,18-25,Female,Public,Biratnagar,Essential Computer Science Guide,Kimberly Salas,Economics,2012,600,0,2025
T000083,2025-02-09,2025-02-24,2025-02-24,Returned,On Time,15.0,0.0,M01016,52,51-65,Female,Student,Kathmandu,Practical Business Techniques,John Richardson,Fiction,2010,850,0,2025
T000084,2025-05-27,2025-06-08,2025-06-07,Returned,On Time,11.0,0.0,M00143,75,65+,Female,Student,Biratnagar,Essential Self Help Handbook,Carol Cross,History,2010,750,0,2025
T000085,2025-09-12,2025-09-27,2025-09-26,Returned,On Time,14.0,0.0,M01161,40,36-50,Male,Student,Pokhara,Complete Marketing Handbook,Taylor Rodriguez,Data Science,2017,1400,0,2025
T000086,2024-06-12,2024-06-22,,Borrowed,On Time,,,M00701,65,51-65,Female,Public,Kathmandu,Modern AI Techniques,Andrew Wong,History,2008,2175,0,2024
T000087,2024-07-06,2024-07-23,,Borrowed,On Time,,,M00264,35,26-35,Female,Student,Pokhara,Essential History Handbook,Melissa Fisher,Fiction,2012,700,0,2024
T000088,2024-05-24,2024-06-08,,Borrowed,On Time,,,M01963,75,65+,Male,Student,Kathmandu,Advanced Data Science Applications,Ashley Orozco,Business,2014,2250,0,2024
T000089,2025-01-01,2025-01-10,2025-01-07,Returned,On Time,6.0,0.0,M00710,71,65+,Male,Public,Kathmandu,Complete Economics Handbook,Luis Bryant,Cyber Security,2023,2025,0,2025
T000090,2024-01-23,2024-01-31,2024-02-13,Returned,Overdue,21.0,13.0,M01933,57,51-65,Male,Public,Pokhara,Advanced Cloud Computing Handbook,Alicia Johnson,Self Help,2023,2400,130,2024
T000091,2025-10-07,2025-10-31,,Borrowed,On Time,,,M01860,17,Under 18,Male,Faculty,Biratnagar,Essential Data Science Applications,Stacey Barber,History,2019,525,0,2025
T000092,2024-07-29,2024-08-07,2024-08-04,Returned,On Time,6.0,0.0,M01690,22,18-25,Female,Public,Kathmandu,Practical Finance Applications,Kathleen Simpson,Business,2021,1775,0,2024
T000093,2025-09-11,2025-09-22,,Borrowed,On Time,,,M01425,15,Under 18,Male,Public,Biratnagar,Modern Fiction Guide,Mr. Brian Lawrence,Finance,2010,1100,0,2025
T000094,2024-11-11,2024-11-30,,Borrowed,On Time,,,M00712,20,18-25,Male,Researcher,Kathmandu,Practical Cloud Computing Applications,Charles Evans,Cloud Computing,2017,1475,0,2024
T000095,2025-06-08,2025-06-19,2025-06-28,Returned,Overdue,20.0,9.0,M01595,16,Under 18,Male,Public,Kathmandu,Advanced AI Concepts,Chelsea Martin,Cyber Security,2025,775,90,2025
T000096,2024-12-25,2025-01-06,2025-01-17,Returned,Overdue,23.0,11.0,M01702,39,36-50,Male,Student,Pokhara,Essential Marketing Techniques,Shane Golden MD,Business,2015,350,110,2024
T000097,2025-03-29,2025-04-15,2025-04-13,Returned,On Time,15.0,0.0,M02129,66,65+,Male,Student,Kathmandu,Practical Psychology Concepts,Michael Henderson,Fiction,2018,2200,0,2025
T000098,2025-11-29,2025-12-13,2025-12-27,Returned,Overdue,28.0,14.0,M00731,17,Under 18,Male,Student,Biratnagar,Modern AI Techniques,Brittany Burch,Psychology,2025,1950,140,2025
T000099,2024-08-29,2024-09-10,,Borrowed,On Time,,,M01425,40,36-50,Male,Student,Pokhara,Advanced AI Applications,Amanda Crawford,Marketing,2011,2275,0,2024
T000100,2024-07-12,2024-07-31,,Borrowed,On Time,,,M00282,75,65+,Female,Faculty,Kathmandu,Complete Marketing Concepts,Christopher Ferrell,Economics,2019,1850,0,2024
T000101,2024-11-22,2024-12-09,2024-12-07,Returned,On Time,15.0,0.0,M00224,69,65+,Male,Student,Biratnagar,Modern Fiction Applications,Sean Sharp,Self Help,2013,400,0,2024
T000102,2024-03-23,2024-04-13,2024-04-11,Returned,On Time,19.0,0.0,M00149,44,36-50,Female,Faculty,Kathmandu,Practical Marketing Guide,Teresa Delgado,Marketing,2021,2350,0,2024
T000103,2024-08-01,2024-08-25,2024-08-25,Returned,On Time,24.0,0.0,M00275,58,51-65,Male,Researcher,Pokhara,Complete AI Applications,Mercedes Mack,Machine Learning,2022,425,0,2024
T000104,2025-01-16,2025-02-02,2025-02-01,Returned,On Time,16.0,0.0,M00858,67,65+,Male,Student,Kathmandu,Essential Machine Learning Techniques,Erik Tucker,Data Science,2017,2475,0,2025
T000105,2025-09-17,2025-09-28,2025-09-27,Returned,On Time,10.0,0.0,M01737,42,36-50,Female,Public,Kathmandu,Practical Psychology Handbook,Lauren Ellis,History,2011,1700,0,2025
T000106,2024-09-14,2024-09-27,2024-09-26,Returned,On Time,12.0,0.0,M01299,40,36-50,Female,Student,Nepalgunj,Modern Cloud Computing Techniques,Crystal Johnson,Data Science,2020,1900,0,2024
T000107,2025-10-27,2025-11-08,,Borrowed,On Time,,,M00925,49,36-50,Female,Student,Kathmandu,Practical History Handbook,Michael Klein,Cloud Computing,2010,2350,0,2025
T000108,2025-10-23,2025-11-02,,Borrowed,On Time,,,M00155,23,18-25,Female,Public,Pokhara,Advanced Economics Guide,Kevin Harrington Jr.,Machine Learning,2009,975,0,2025
T000109,2024-12-18,2025-01-09,2025-01-09,Returned,On Time,22.0,0.0,M00552,39,36-50,Female,Faculty,Kathmandu,Practical Marketing Applications,Ian Gordon,Psychology,2020,2175,0,2024
T000110,2024-07-15,2024-07-28,2024-07-26,Returned,On Time,11.0,0.0,M00575,42,36-50,Female,Student,Kathmandu,Modern History Applications,Danielle Gutierrez,Business,2009,2100,0,2024
T000111,2025-07-25,2025-08-08,2025-08-06,Returned,On Time,12.0,0.0,M00482,24,18-25,Male,Student,Pokhara,Practical Business Applications,Marco Peterson,Fiction,2019,1075,0,2025
T000112,2025-09-11,2025-09-25,2025-09-22,Returned,On Time,11.0,0.0,M00073,39,36-50,Female,Student,Kathmandu,Practical Psychology Techniques,Mark Mcneil,History,2018,1050,0,2025
T000113,2024-08-29,2024-09-11,2024-09-23,Returned,Overdue,25.0,12.0,M01694,17,Under 18,Male,Public,Kathmandu,Practical Networking Applications,Pamela Herring,Fiction,2009,1925,120,2024
T000114,2024-01-06,2024-01-16,,Borrowed,On Time,,,M00180,51,51-65,Female,Public,Kathmandu,Modern Cyber Security Handbook,Alexander Robinson,Self Help,2013,500,0,2024
T000115,2025-07-30,2025-08-18,2025-08-18,Returned,On Time,19.0,0.0,M00533,76,65+,Male,Researcher,Nepalgunj,Essential Marketing Handbook,Sandra Lucas,History,2014,1400,0,2025
T000116,2024-04-08,2024-04-25,2024-04-25,Returned,On Time,17.0,0.0,M00384,15,Under 18,Male,Student,Kathmandu,Advanced Self Help Guide,Mrs. Angela Garcia,Economics,2024,2300,0,2024
T000117,2024-02-09,2024-02-25,,Borrowed,On Time,,,M02179,27,26-35,Female,Student,Pokhara,Practical History Handbook,Jennifer Cobb,Cloud Computing,2016,1525,0,2024
T000118,2025-12-29,2026-01-10,2026-01-07,Returned,On Time,9.0,0.0,M00038,53,51-65,Female,Student,Nepalgunj,Complete Data Science Applications,Gregory Kim,Self Help,2023,1475,0,2025
T000119,2024-09-01,2024-09-09,2024-09-06,Returned,On Time,5.0,0.0,M01307,21,18-25,Male,Public,Pokhara,Essential Networking Handbook,Jacqueline Blake,Cloud Computing,2008,1925,0,2024
T000120,2025-10-31,2025-11-13,2025-11-12,Returned,On Time,12.0,0.0,M01954,71,65+,Female,Public,Pokhara,Essential Self Help Guide,Kevin Stephenson,Cyber Security,2013,1975,0,2025
T000121,2025-08-20,2025-09-02,,Borrowed,On Time,,,M01061,77,65+,Female,Student,Pokhara,Advanced AI Guide,Rachel Houston,Business,2021,1750,0,2025
T000122,2025-08-25,2025-09-14,2025-09-14,Returned,On Time,20.0,0.0,M00341,21,18-25,Male,Researcher,Kathmandu,Practical Business Techniques,Mrs. Elizabeth Martin,Finance,2022,1625,0,2025
T000123,2024-11-08,2024-11-19,2024-11-16,Returned,On Time,8.0,0.0,M01779,67,65+,Male,Public,Nepalgunj,Modern Self Help Guide,James Leonard,Computer Science,2024,2425,0,2024
T000124,2025-10-30,2025-11-19,2025-11-17,Returned,On Time,18.0,0.0,M00547,23,18-25,Male,Faculty,Kathmandu,Advanced Economics Applications,Sarah Taylor,Cyber Security,2010,1375,0,2025
T000125,2025-10-13,2025-10-26,2025-10-24,Returned,On Time,11.0,0.0,M01200,48,36-50,Male,Student,Pokhara,Complete Computer Science Techniques,Daniel Reese,Psychology,2023,2475,0,2025
T000126,2025-03-16,2025-03-29,,Borrowed,On Time,,,M00305,17,Under 18,Male,Public,Pokhara,Complete AI Applications,William Hoffman,Self Help,2024,1400,0,2025
T000127,2025-05-27,2025-06-04,2025-06-04,Returned,On Time,8.0,0.0,M00451,34,26-35,Male,Public,Kathmandu,Advanced Computer Science Guide,Amanda Morris,Business,2017,825,0,2025
T000128,2025-04-23,2025-05-14,2025-05-12,Returned,On Time,19.0,0.0,M01897,61,51-65,Male,Researcher,Pokhara,Practical Business Techniques,Nathan Doyle,Finance,2010,475,0,2025
T000129,2024-09-09,2024-09-25,2024-09-25,Returned,On Time,16.0,0.0,M01104,47,36-50,Male,Student,Biratnagar,Complete Cloud Computing Guide,Faith Christensen,Fiction,2014,1775,0,2024
T000130,2025-04-07,2025-04-28,,Borrowed,On Time,,,M00816,26,26-35,Male,Faculty,Biratnagar,Modern Networking Concepts,Jessica Hayes,Business,2012,1700,0,2025
T000131,2025-01-26,2025-02-19,,Borrowed,On Time,,,M00615,33,26-35,Male,Researcher,Pokhara,Practical Psychology Applications,Susan Wright,Business,2023,700,0,2025
T000132,2024-02-06,2024-02-18,2024-02-17,Returned,On Time,11.0,0.0,M01116,32,26-35,Female,Student,Kathmandu,Complete Psychology Guide,Luis Green,AI,2025,850,0,2024
T000133,2025-11-24,2025-12-10,,Borrowed,On Time,,,M01394,36,36-50,Male,Student,Biratnagar,Complete Fiction Concepts,Dale Chang,Data Science,2011,875,0,2025
T000134,2025-04-15,2025-05-01,2025-05-01,Returned,On Time,16.0,0.0,M00964,46,36-50,Male,Student,Kathmandu,Complete Cyber Security Guide,Kelsey Strickland,Finance,2008,1550,0,2025
T000135,2025-01-12,2025-02-03,2025-01-31,Returned,On Time,19.0,0.0,M00204,21,18-25,Female,Faculty,Kathmandu,Advanced Cloud Computing Techniques,Danny Riley,AI,2016,1125,0,2025
T000136,2025-04-28,2025-05-18,2025-05-16,Returned,On Time,18.0,0.0,M00590,50,36-50,Male,Faculty,Pokhara,Complete Data Science Applications,Michelle Clark,Economics,2018,675,0,2025
T000137,2024-10-03,2024-10-15,,Borrowed,On Time,,,M00057,56,51-65,Male,Student,Pokhara,Practical Economics Guide,Curtis Guerra,Computer Science,2022,475,0,2024
T000138,2025-11-11,2025-12-04,2025-12-01,Returned,On Time,20.0,0.0,M01008,50,36-50,Female,Faculty,Kathmandu,Advanced Business Guide,Natalie Matthews,Data Science,2024,2400,0,2025
T000139,2025-10-29,2025-11-07,2025-11-14,Returned,Overdue,16.0,7.0,M00259,27,26-35,Female,Public,Pokhara,Modern Networking Techniques,Adrian Schmitt,History,2013,2350,70,2025
T000140,2024-02-28,2024-03-20,2024-03-19,Returned,On Time,20.0,0.0,M00570,15,Under 18,Male,Faculty,Kathmandu,Modern Data Science Guide,David Blair,History,2019,775,0,2024
T000141,2024-01-16,2024-02-02,,Borrowed,On Time,,,M00137,17,Under 18,Female,Student,Kathmandu,Complete Networking Guide,Doris Miller,Economics,2020,1875,0,2024
